==== Broken events ====
Total broken events: 78
{'episode': 6, 'step': 28, 'customer_index': 1, 'customer_instance_id': 'dyn-3', 'x': -8.44, 'y': 1.34, 'demand': 31.91}
{'episode': 6, 'step': 30, 'customer_index': 2, 'customer_instance_id': 'dyn-4', 'x': 9.21, 'y': -1.0, 'demand': 13.92}
{'episode': 14, 'step': 27, 'customer_index': 9, 'customer_instance_id': 'dyn-5', 'x': -0.2, 'y': -3.93, 'demand': 21.42}
{'episode': 14, 'step': 32, 'customer_index': 9, 'customer_instance_id': 'dyn-6', 'x': 2.72, 'y': 0.99, 'demand': 41.9}
{'episode': 15, 'step': 13, 'customer_index': 4, 'customer_instance_id': 'dyn-7', 'x': -1.97, 'y': -7.57, 'demand': 7.3}
{'episode': 15, 'step': 30, 'customer_index': 9, 'customer_instance_id': 'dyn-8', 'x': 6.74, 'y': -4.28, 'demand': 43.55}
{'episode': 28, 'step': 18, 'customer_index': 7, 'customer_instance_id': 'dyn-9', 'x': -9.38, 'y': -3.22, 'demand': 21.69}
{'episode': 28, 'step': 22, 'customer_index': 4, 'customer_instance_id': 'dyn-10', 'x': -1.61, 'y': 6.93, 'demand': 8.51}
{'episode': 28, 'step': 35, 'customer_index': 2, 'customer_instance_id': 'dyn-11', 'x': -8.27, 'y': 3.83, 'demand': 28.31}
{'episode': 29, 'step': 24, 'customer_index': 3, 'customer_instance_id': 'dyn-12', 'x': -2.71, 'y': -5.79, 'demand': 12.15}
{'episode': 29, 'step': 28, 'customer_index': 6, 'customer_instance_id': 'dyn-13', 'x': -0.45, 'y': -7.88, 'demand': 9.16}
{'episode': 29, 'step': 33, 'customer_index': 2, 'customer_instance_id': 'dyn-14', 'x': 3.83, 'y': 7.49, 'demand': 28.86}
{'episode': 31, 'step': 14, 'customer_index': 0, 'customer_instance_id': 'dyn-15', 'x': -0.52, 'y': -7.37, 'demand': 0.17}
{'episode': 31, 'step': 22, 'customer_index': 3, 'customer_instance_id': 'dyn-16', 'x': 8.53, 'y': -4.08, 'demand': 13.25}
{'episode': 31, 'step': 32, 'customer_index': 2, 'customer_instance_id': 'dyn-17', 'x': 4.22, 'y': 1.9, 'demand': 14.4}
{'episode': 34, 'step': 16, 'customer_index': 2, 'customer_instance_id': 'dyn-18', 'x': 1.59, 'y': -7.18, 'demand': 36.69}
{'episode': 34, 'step': 20, 'customer_index': 4, 'customer_instance_id': 'dyn-19', 'x': 5.96, 'y': -6.2, 'demand': 1.26}
{'episode': 40, 'step': 18, 'customer_index': 1, 'customer_instance_id': 'dyn-20', 'x': 2.4, 'y': -8.85, 'demand': 43.46}
{'episode': 40, 'step': 25, 'customer_index': 1, 'customer_instance_id': 'dyn-21', 'x': -2.2, 'y': -0.84, 'demand': 30.34}
{'episode': 40, 'step': 31, 'customer_index': 0, 'customer_instance_id': 'dyn-22', 'x': -0.91, 'y': 7.62, 'demand': 17.61}
{'episode': 43, 'step': 16, 'customer_index': 2, 'customer_instance_id': 'dyn-23', 'x': -2.58, 'y': 3.79, 'demand': 29.8}
{'episode': 44, 'step': 21, 'customer_index': 0, 'customer_instance_id': 'dyn-24', 'x': -3.87, 'y': -7.03, 'demand': 20.77}
{'episode': 44, 'step': 24, 'customer_index': 3, 'customer_instance_id': 'dyn-25', 'x': -6.39, 'y': -1.63, 'demand': 10.8}
{'episode': 44, 'step': 30, 'customer_index': 4, 'customer_instance_id': 'dyn-26', 'x': -1.41, 'y': 0.82, 'demand': 22.08}
{'episode': 54, 'step': 19, 'customer_index': 2, 'customer_instance_id': 'dyn-27', 'x': 1.42, 'y': 1.83, 'demand': 43.37}
{'episode': 54, 'step': 29, 'customer_index': 6, 'customer_instance_id': 'dyn-28', 'x': -4.57, 'y': 4.1, 'demand': 25.54}
{'episode': 58, 'step': 20, 'customer_index': 4, 'customer_instance_id': 'dyn-29', 'x': 8.85, 'y': -2.49, 'demand': 32.92}
{'episode': 58, 'step': 28, 'customer_index': 5, 'customer_instance_id': 'dyn-30', 'x': 6.0, 'y': 3.87, 'demand': 26.56}
{'episode': 58, 'step': 32, 'customer_index': 4, 'customer_instance_id': 'dyn-31', 'x': -6.77, 'y': -4.61, 'demand': 42.3}
{'episode': 59, 'step': 17, 'customer_index': 9, 'customer_instance_id': 'dyn-32', 'x': 5.44, 'y': -7.74, 'demand': 19.34}
{'episode': 59, 'step': 31, 'customer_index': 1, 'customer_instance_id': 'dyn-33', 'x': -3.88, 'y': 7.7, 'demand': 30.95}
{'episode': 59, 'step': 33, 'customer_index': 5, 'customer_instance_id': 'dyn-34', 'x': 1.28, 'y': -9.81, 'demand': 8.76}
{'episode': 61, 'step': 13, 'customer_index': 0, 'customer_instance_id': 'dyn-35', 'x': 1.14, 'y': 4.73, 'demand': 28.19}
{'episode': 61, 'step': 31, 'customer_index': 9, 'customer_instance_id': 'dyn-36', 'x': 3.07, 'y': -0.05, 'demand': 28.93}
{'episode': 63, 'step': 14, 'customer_index': 1, 'customer_instance_id': 'dyn-37', 'x': 0.87, 'y': -3.62, 'demand': 22.37}
{'episode': 63, 'step': 16, 'customer_index': 4, 'customer_instance_id': 'dyn-38', 'x': -1.62, 'y': -2.01, 'demand': 36.23}
{'episode': 63, 'step': 27, 'customer_index': 1, 'customer_instance_id': 'dyn-39', 'x': 0.79, 'y': -8.89, 'demand': 20.95}
{'episode': 64, 'step': 15, 'customer_index': 4, 'customer_instance_id': 'dyn-40', 'x': 4.71, 'y': -6.31, 'demand': 21.39}
{'episode': 64, 'step': 21, 'customer_index': 2, 'customer_instance_id': 'dyn-41', 'x': -7.92, 'y': 1.37, 'demand': 24.21}
{'episode': 64, 'step': 35, 'customer_index': 5, 'customer_instance_id': 'dyn-42', 'x': -6.58, 'y': -1.24, 'demand': 9.25}
{'episode': 65, 'step': 18, 'customer_index': 4, 'customer_instance_id': 'dyn-43', 'x': -1.71, 'y': -8.75, 'demand': 12.79}
{'episode': 70, 'step': 12, 'customer_index': 1, 'customer_instance_id': 'dyn-44', 'x': -9.04, 'y': 0.79, 'demand': 24.48}
{'episode': 70, 'step': 17, 'customer_index': 4, 'customer_instance_id': 'dyn-45', 'x': 3.53, 'y': 3.75, 'demand': 18.04}
{'episode': 70, 'step': 32, 'customer_index': 3, 'customer_instance_id': 'dyn-46', 'x': -2.51, 'y': -2.47, 'demand': 21.38}
{'episode': 72, 'step': 15, 'customer_index': 4, 'customer_instance_id': 'dyn-47', 'x': 5.38, 'y': -2.57, 'demand': 15.91}
{'episode': 72, 'step': 28, 'customer_index': 5, 'customer_instance_id': 'dyn-48', 'x': -5.41, 'y': -2.6, 'demand': 13.11}
{'episode': 76, 'step': 20, 'customer_index': 1, 'customer_instance_id': 'dyn-49', 'x': -7.9, 'y': -5.87, 'demand': 37.77}
{'episode': 76, 'step': 29, 'customer_index': 4, 'customer_instance_id': 'dyn-50', 'x': -3.9, 'y': 6.92, 'demand': 19.64}
{'episode': 76, 'step': 32, 'customer_index': 9, 'customer_instance_id': 'dyn-51', 'x': 0.83, 'y': -1.27, 'demand': 24.08}
{'episode': 81, 'step': 11, 'customer_index': 3, 'customer_instance_id': 'dyn-52', 'x': -1.1, 'y': 7.62, 'demand': 17.23}
{'episode': 81, 'step': 23, 'customer_index': 5, 'customer_instance_id': 'dyn-53', 'x': -3.56, 'y': 5.05, 'demand': 33.76}
